did,diagnose,pid
"1349","Presbyopia: aging vision","No cure. To improve vision: Readers Glasses, Bifocals, Progressive lenses, KAMRA inlay(not for cataract surgery patient)."
"1351","Rectocele","Kegel exercise, Dietary fiber, Pessary, Rectocele repair and Colporrhaphy"
"1353","Retinitis pigmentosa","No cure. To slow vision loss: Acetazolamide, Vitamin A palmitate, Sunglasses, Retinal implant."
"1355","Retinoblastoma: pediatric eye cancer","Freezing, Plaque radiotherapy, Chemotherapy, Laser coagulation and Enucleation of the eye, Supportive intensive care, Artificial eye"
"1357","Retrobulbar Neuritis","Steroid and Blood transfusion(if required)."
"1359","Shoulder sprain","RICE (Rest, Ice, Compression, Elevation), Nonsteroidal anti-inflammatory drug (NSAID), such as ibuprofen or naproxen, Corticosteroid Injection."
"1361","Squamous cell lung cancer","Chemotherapy, Radiation therapy, Pulmonary lobectomy"
"1363","Takayasu's arteritis: Giant cell arteritis of the young","Corticosteroids, Drugs that suppress the immune system, Surgery."
"1365","Tay-Sachs disease","No cure. Supportive treatment: Medication for pain, anti-epileptic medication to control seizures, physical therapy, Nutritional support, Respiratory treatments to reduce mucus buildup in the lungs, Supports groups for emotional support."
"1367","Tear duct infection: Dacryocystitis","Hold warm compresses to the eye a few times per day, Antibiotics, Dacryocystorhinostomy(DCR)(if needed)."
"1369","Thrombophlebitis: superficial","Applying heat to the painful area, Elevating the affected leg, Over-the-counter nonsteroidal anti-inflammatory drug (NSAID), Compression stockings, Clot-dissolving medications, Vena cava filter, Aricose vein stripping."
"1373","Traumatic hip dislocation: traumatic dislocation of hip","Nonsurgical reduction by manipulation, Orthopedic surgery(if fractures or significant damage to soft tissues, blood vessels or nerves)."
"1375","Traveler's diarrhea: Montezuma's revenge","Pepto-Bismol(medication), Replacement of fluids and salts(ORS), Lomotil or Imodium(antidiarrheal medication)."
"1379","Tropical sprue","Antibiotics(Tetracycline, Sulfamethoxazole and trimethoprim (Bactrim), Oxytetracycline, Ampicillin) and Therapy to replace the vitamins, nutrients, and electrolytes that the body is lacking."
"1381","Wilms' Tumor","Surgery, Chemotherapy, Radiation therapy."
"1383","Wrist sprain","Nonsteroidal anti-inflammatory drug, Elastic bandage and Splint, RICE (Rest, Ice, Compression, Elevation) and Physical exercise, Stretching."
"1385","Yaws","Penicillin and Antibiotics."
"1387","Amyloidosis","Treatment depends on severity. Steroid, Immunosuppressive drug and Chemotherapy, Haematopoietic stem cell transplantation and Hemodialysis."
"1389","Arnold Chiari malformation","Monitoring for changes or improvement, Laminectomy and Decompressive craniectomy"
"1393","Broken jaw: mandible fracture","Resting the jaw, Wiring your mouth closed, Surgery for more severe breaks. (Food intake includes soft foods and liquids only for all treatments.)"
"1395","Conversion disorder","Psychotherapy, Antidepressants or antipsychotic drugs."
"1397","Strabismus: crossed eyes","Early treatment using Bifocals, Eyepatch, Glasses, Contact lenses, Surgery(rarely)."
"1399","Decompression sickness: bends, caisson's disease","Concentrated oxygen, Recompression therapy"
"1403","Delusional disorder","Antipsychotics, Psychotherapy."
"1405","Dermatofibroma","Treatment by: Removing the growth entirely(but it may end up scarring the site), Shaving off the top layers, Freezing the growth by liquid nitrogen, Laser treatment."
"1409","Fibromuscular dysplasia: FMD","Blood pressure control, ACE inhibitor and Antihypertensive drug, Revascularization, Vascular surgery"
"1415","Hypoparathyroidism","Calcium and vitamin D supplements, Limit foods with phosphates, like soda and other fizzy drinks."
"1417","Ichthyosis","Moisturizer and Exfoliation, Hydrotherapy, Anti-inflammatory and Vitamin A derivative."
"1421","Keloid: overgrown scar","Steroid and Topical anti-tumor medication, Silicone gel sheets, Cryosurgery, Laser treatment."
"1423","Broken leg: leg fracture","Surgery, OTC pain relievers such as acetaminophen (Tylenol) or ibuprofen (Advil), Physical therapy."
"1425","Prediabetes: high blood sugar","Physical exercise, Weight loss, Low carbohydrate diet, Mediterranean diet, Low fat diet and Diabetic diet, Anti-diabetic medication."
"1429","Subluxation","RICE (Rest, Ice, Compression, Elevation), nonsteroidal anti-inflammatory drug (NSAID) like Aleve (naproxen), Advil (ibuprofen), or Voltaren (diclofenac) to alleviate swelling, Surgery."
"1431","Vitamin D deficiency","Increased exposure to sunlight, Vitamin D supplimentation."
"1433","Supraventricular tachycardia: SVT","Vagal maneuver and Valsalva maneuver, Beta blocker, Antiarrhythmic and Calcium channel blocker, Cardioversion and Ablation"
"1435","Traumatic brain injury","Diuretic, Decompressive craniectomy, Rehabilitation, Cognitive behavioral therapy, Anger management and Counseling psychology."
"1437","Testicular hypofunction","Testosterone replacement therapy(for Adults), Three to six months of testosterone supplementation(for Boys)."
"1439","Von Willebrand's disease","Nonreplacement therapy using desmopressin (DDAVP), Replacement therapy using Humate-P or Alphanate Solvent Detergent/Heat Treated (SD/HT)(Don't use these 2 therapies interchangably), Aminocaproic acid and tranexamic acid drugs, Avoid drugs that can increase risk of bleeding."
"1441","Lymphadenitis","Resting and applying a warm and moist compress to the swollen area, Antibiotics, Abscess draining, Cancer treatment(if due to a cancerous treatment)."
"1443","Drug withdrawal syndrome","Drug detoxification, Sedative, Smoking cessation aid and Narcotic, Counseling psychology"
"1445","Stuttering","Speech therapy, Support groups, Electronic devices which encourages children to speak more slowly by playing back an altered recording of their voice when they speak quickly, or which can create distracting background noise."
"1449","Tic Disorder","Therapies(Exposure and response prevention, Habit reversal therapy), Medications(Anti-seizure medications, Botox injections, muscle relaxants, medications that interact with dopamine), Deep brain stimulation."
"1451","Conduct disorder","Psychotherapy, Medication to treat some of distressing symptoms."
"1453","Charcot-Marie-Tooth disease","Physiotherapy and occupational therapy, Medication may reduce pain, Physical exercise, Stretching, Splint and Brace."
"1455","Neutropenia","Treatment based on underlying cause. Bone marrow stimulant, Antibiotics and Penicillin, Stem cell transplants(severe neutropenia), Changing medications, if possible, in cases of drug-induced neutropenia."
"1457","Greater trochanteric bursitis: hip bursitis","Nonsteroidal anti-inflammatory drug, Analgesic and Steroid, Ice packs and Weight loss, Stretching and Physical Therapy."
"1461","Turner syndrome: gonadal dysgenesis","Human growth hormone, Estrogen therapy, Cyclic progestins."
"1463","Pancytopenia","Treatment based on underlying cause. Transfusion of red blood cells or platelets, Bone marrow transplant, Stem cell transplant, Medications to stimute bone marrow production or suppress the immune system if it is impairing bone marrow production."
"1467","Cerebellar Ataxia","Treatment based on cause. Surgery(if bleeding in cerebellum), antibiotics(if infection), Blood thinners(if stroke), steoid based medication, Reduce(or possible eliminate) exposure to toxin(if toxin is cause)."
"1469","Complex partial seizures: psychomotor epilepsy","Anti-epileptic medication, Surgery, Nerve stimulation devices"
"1471","Meralgia Paresthetica","Wearing looser clothing, Losing excess weight, OTC pain relievers such as acetaminophen and ibruprofen, Corticosteroid injections, Tricyclic antidepressants, Gabapentin, Surgery."
"1473","Retinopathy","Blood glucose management and Diabetic diet, Vitrectomy, Laser coagulation and Laser surgery, VEGFR inhibitor and Steroid"
"1475","Corneal ulcer","Antibiotic, antiviral, or antifungal eye drops depending on the cause of the ulcer; Corneal transplant."
"1479","Blocked tear duct: dacryostenosis","Gently 'milking' or massaging the tear duct two to three times a day, anitbiotics, enlargement with a probe(if necessary)."
"1483","Aphakia","Surgery"
"1487","Bacterial tracheitis","Antibiotics, Intubation(if needed)"
"1489","Trigger finger","Splint, Steroid and Nonsteroidal anti-inflammatory drug, Percutaneous trigger finger release, Physical exercise, Massage"
"1493","Glossitis","Antibiotics and other medications that get rid of infections caused by bacteria in the body, topical corticosteroids to reduce the redness and soreness"
"1495","Anal fistula","Surgery"
"1497","Urethral stricture","Dilation of urethra, urethrotomy, open surgery(urethroplasty)"
"1501","Pemphigoid","Steroid-based medications, IVIG therapy, nicotinamide, dapsone, skin emollients or moisturizers to reduce itchiness, pain-relief medications, such as Tylenol or aspirin."
"1503","Scar"," Over-the-counter or prescription creams, ointments, or gels, Surgical removal or treatment, Steroid injections"
"1505","Finger amputation","NA"
"1509","Hydronephrosis","Antibiotics(for infection). Urine drainage from the bladder or kidney(for severe cases), Ureteral stent, Urinary catheterization, Nephrostomy and Extracorporeal shock wave lithotripsy."
"1511","Night blindness: nyctalopia","Treatment on the basis of cause. New eyeglass, switching glaucoma medications, surgery if cause is cataracts."
"1513","Scurvy: vitamin C deficiency","Vitamin C supplements."
"1515","Beriberi: thiamine: vitamin B1 deficiency","Vitamin B1 supplements, IV fluids"
"1517","Cutaneous T cell lymphoma","Skin creams and ointments, Phototherapy, Radiation therapy, Steroid drugs and interferon, Exposing blood cells to light, Bone marrow transplant."
"1519","Cardiomegaly: enlarged heart","Treatment on the basis of cause. Coronary artery disease: Opening the blockages in the blood vessels that supply oxygen; Hypertension: Controlling high blood pressure; Alcohol or drug use: Stopping use of the harmful substance; Heart valve disease: Surgery or a less invasive procedure; Diuretics as a general medication."
"1521","Developmental delay","Speech-hearing delay: evaluation by a speech-language pathologist which may lead to encourage repitition in communication; Vision delay: Glasses, surgery, eye patch; Motor skills delay: encourage more physical activity, physical therapy; Social and Emotional Developmental Delays: behavioral and skill-oriented therapy; Cognitive delay: Educational intervention, play therapy or behavioral therapy."
"1523","Breast cyst","Monitoring for changes or improvement, Fine-needle aspiration"
"1525","Ductal carcinoma in situ: DCIS, breast cancer","Lumpectomy, Mastectomy, Radiation Therapy"
"1527","Missed abortion","Expectant management, Misoprostol(medication), Dilation and curettage (D&C) surgery"
"1529","Triple negative breast cancer","Chemotherapy in combination with Mastectomy"
"1531","Invasive ductal carcinoma","Lumpectomy, Mastectomy, Radiation Therapy"
"1533","Invasive lobular carcinoma","Lumpectomy, Mastectomy, Sentinel lymph node biopsy, Axillary lymph node dissection, Hormone therapy, Radiation Therapy, Chemotherapy"
"1535","Dystonia","Medications to increase dopamine, Sensory manoeuvres and Physical Therapy, Muscle relaxant, Neurotoxin, Dopamine promoter, Anti-Tremor and Sedative."
"1537","Failure to thrive - adult: failure to thrive","monitor change in food eating habits or sudden decline in health followed by coinsulation with a physician, check the existing medications if any, encourage to participate in activities, coomunicate to keep patient from feeling alone."
